Id,Nom,Adreca,Telefon,Fax,CorreuElectronic,Barri,PaginaWeb,Coordenades,url_icona
99634,"Farmàcia Teruel Lorca, Ana",C. Igualtat 0010,932633224,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r1qazAdU2Fhd4pxtc9nBgQNeWmqazAaL0DWJNLqazA4qazB,"(41.3612624519453, 2.12505210489453)",http://www.l-h.cat/img/planol/ico_farm.gif
99611,"Farmàcia Navarro García, Francesc",AV Fabregada 56,933387797,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdnWJBO5KaCTQ7uP7UIFBW6zU8NLfY8qazCna8qazB,"(41.3599555820541, 2.10736364882618)",http://www.l-h.cat/img/planol/ico_farm.gif
99590,"Farmàcia Garcia Barquin, Ma. Dolores / Perez Garcia, Elena",C. Albéniz 27,934490702,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uRGBJmIVPHt0BV0JgKx9yqazAuAlWmOAb6vqkqazB,"(41.3753191074807, 2.10579031147001)",http://www.l-h.cat/img/planol/ico_farm.gif
99595,"Farmàcia Hernández Alonso, Mª Angeles",C. Badalona 0010,934312905,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFA1chnqxpORMuJP7reNtdU0GYLWvQiqnmoqazB,"(41.3622395206608, 2.12324563691858)",http://www.l-h.cat/img/planol/ico_farm.gif
99609,"Farmàcia Morales Espina, Mª del Carmen/ Morales Espina, Mercè",C. Pedraforca 0112,934372595,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdlT3Des2Xaq3rA4WWk0w86bSKMC0CwxqazAnEqazB,"(41.3709478894969, 2.10777534182555)",http://www.l-h.cat/img/planol/ico_farm.gif
99641,"Farmàcia Alamos López, Pilar",C. Doctor Martí i Julià 177,934313391,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmptZSN5j13vPcdqazAa82TiwR3h2C1ih5qhTYqazB,"(41.3698248464144, 2.12693420285708)",http://www.l-h.cat/img/planol/ico_farm.gif
99580,"Farmàcia Cortit Granollers, Luis",AV Mare de Déu de Bellvitge 0024,933350594,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeQaFmCBxEHFzzCCKgMx4gYE6YqY8uFYr9gqazB,"(41.3479723362614, 2.10810116372602)",http://www.l-h.cat/img/planol/ico_farm.gif
99617,"Farmàcia Barberan Parcerisa, Luis Miguel",AV Can Serra 51,934375934,,,Can Serra,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKhekLqazC8Lw97xSdsUFjYR5VpJXrKHeCIpiD0qazB,"(41.3661822817888, 2.10075024148484)",http://www.l-h.cat/img/planol/ico_farm.gif
99582,"Farmàcia de Bolós Giralt, Nuria",C. Can Tries 21,933363135,,,Gornal,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeSL2qOf55NCUJkkqazC5pYjQxyGBwJIBadlqUqazB,"(41.359031994166, 2.11959453242689)",http://www.l-h.cat/img/planol/ico_farm.gif
99577,"Farmàcia Capdevila Vila, Mercedes",C. Sant Roc 0043,933371281,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeTDcYcqazA2a8sJ8ATllIgkgpiRGgEmLYIXEYqazB,"(41.3576281213087, 2.09882374116735)",http://www.l-h.cat/img/planol/ico_farm.gif
99575,"Farmàcia Bertran Gomez,Montserrat / Camacho Pelaez, Sara",C. Progrés 85,934495169,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeTVBAEXGQS6bImtwgVwY0VPuSDRcFvQ51AqazB,"(41.3723195280519, 2.12096982499889)",http://www.l-h.cat/img/planol/ico_farm.gif
99589,"Farmàcia Galindo Lozano, M. Teresa / Martín Palma, Ana",AV Can Serra 0020,934370495,,,Can Serra,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uT7vc5adJGSq5m3JwWMlXe6Gu6KMTHAKzoqazB,"(41.3653608477438, 2.0993746138922)",http://www.l-h.cat/img/planol/ico_farm.gif
99607,"Farmàcia Molins Roca, Francesc",AV Severo Ochoa 0099,934378611,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdmZOyO6qazCpriwZmCY44TvRvABuaiODqazALS4YqazB,"(41.3720840161379, 2.10213972584792)",http://www.l-h.cat/img/planol/ico_farm.gif
99625,"Farmàcia Pérez Morales, Juana Mª",C. Rossend Arús 54,933370792,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r0prjvHdoBGi16OzwrhHheJfMIry043qx0qazB,"(41.357200274041, 2.10055115111305)",http://www.l-h.cat/img/planol/ico_farm.gif
99633,"Farmàcia Huguet Termes, Mª Teresa",C. Major 34,933370637,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r24KyrqazAJzmNJBPjNaWSxakcwXOgRHVyGAUqazB,"(41.3595541083114, 2.09861783212325)",http://www.l-h.cat/img/planol/ico_farm.gif
99571,"Farmàcia Barnadas Rull, Clara",C. Florida 0053,934492738,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?1qazAW6QEqazCtnYLjYAZr67NJI6m1fq1Ry66qazAjTKCUeD529cwqazB,"(41.3702609499598, 2.11212523046619)",http://www.l-h.cat/img/planol/ico_farm.gif
99586,"Farmàcia de la Fuente Ruiz, Luis",C. Rafael Campalans 0089,934496936,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uQ62gkccCDdoAOWGs80bp4VOXa9SY4iXYkqazB,"(41.3715463856762, 2.12352719271385)",http://www.l-h.cat/img/planol/ico_farm.gif
99619,"Farmàcia Rodas Loperena, María",C. Occident 0014,933342312,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKheKae3HxqazAZbzzkPRaqazCDDDhjwL4Z4aragSMqazB,"(41.3750228148552, 2.11992892941846)",http://www.l-h.cat/img/planol/ico_farm.gif
99622,"Farmàcia Dasca de Moxo, Mª Teresa",RB Marina 441,933370072,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKhfBKii0fYjFGp8QRL6qazAbg9A4UmuxSzAvBcqazB,"(41.3594254027109, 2.10173994454015)",http://www.l-h.cat/img/planol/ico_farm.gif
99601,"Farmàcia Alias Faya, Ana Mª",C. Canigó 50,933379061,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFClzK7EpQCvJzL1uSYmrEvcHeSNxD0VxpYqazB,"(41.3668300485257, 2.11341538716926)",http://www.l-h.cat/img/planol/ico_farm.gif
99599,"Farmàcia de Luca Gallego, Mª Pilar",AV Carmen Amaya 0024,933361001,,,Gornal,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFA8siock0VcX5MEz5pZoUOnT2qwfPc8MSMqazB,"(41.3543549699726, 2.11813937419197)",http://www.l-h.cat/img/planol/ico_farm.gif
99642,"Farmàcia Bastida Fernández, Berta",AV Can Serra 0092,934379792,,,Can Serra,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmpxqczFHUrs6qy2KF2PZanSREC29Ykrc5AqazB,"(41.3671018378725, 2.10200498688214)",http://www.l-h.cat/img/planol/ico_farm.gif
99618,"Farmàcia Moreno Murillo, Raquel",C. Enric Prat de la Riba 161,933372556,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKhff6gRRSUhtGp7iShqazAycVtlg4X5wjT2wqazCsqazB,"(41.3622995794862, 2.1087902170158)",http://www.l-h.cat/img/planol/ico_farm.gif
99626,"Farmàcia Sancho Soto, Facundo / Sancho Soto, Mª Josefa",AV Torrent Gornal 0058,934492601,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r2bAJsmiQGtMkvs62qazCDPlSsm81thCPXYhcqazB,"(41.3718003798242, 2.1143523156121)",http://www.l-h.cat/img/planol/ico_farm.gif
