DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
30/9/2019;8;Florida Sud;23889;8661;ABS_08
30/9/2019;9;Pubilla Cases;30616;11589;ABS_09
30/9/2019;11;Gornal;9054;3925;ABS_11
30/9/2019;2;Sant Josep;23132;9662;ABS_02
30/9/2019;12;Bellvitge;24856;10082;ABS_12
30/9/2019;5;Santa Eulàlia Nord;20305;8553;ABS_05
30/9/2019;10;Can Serra;10170;4205;ABS_10
30/9/2019;7;Florida Nord;22578;8158;ABS_07
30/9/2019;4;Torrassa;27589;10708;ABS_04
31/10/2019;7;Florida Nord;22694;8159;ABS_07
31/10/2019;2;Sant Josep;23157;9662;ABS_02
31/10/2019;6;Santa Eulàlia Sud;24516;10265;ABS_06
31/10/2019;9;Pubilla Cases;30754;11590;ABS_09
31/10/2019;1;Centre;29733;13068;ABS_01
31/10/2019;10;Can Serra;10181;4205;ABS_10
31/10/2019;3;Collblanc;26468;10679;ABS_03
31/10/2019;12;Bellvitge;24891;10083;ABS_12
31/10/2019;8;Florida Sud;23978;8661;ABS_08
31/10/2019;4;Torrassa;27745;10710;ABS_04
31/10/2019;11;Gornal;9070;3925;ABS_11
31/10/2019;5;Santa Eulàlia Nord;20405;8570;ABS_05
30/11/2019;7;Florida Nord;22916;8160;ABS_07
30/11/2019;12;Bellvitge;24989;10083;ABS_12
30/11/2019;10;Can Serra;10236;4205;ABS_10
30/11/2019;6;Santa Eulàlia Sud;24710;10265;ABS_06
30/11/2019;1;Centre;29877;13122;ABS_01
30/11/2019;9;Pubilla Cases;31086;11590;ABS_09
30/11/2019;4;Torrassa;28138;10710;ABS_04
30/11/2019;8;Florida Sud;24197;8661;ABS_08
30/11/2019;3;Collblanc;26721;10680;ABS_03
30/11/2019;11;Gornal;9140;3925;ABS_11
30/11/2019;5;Santa Eulàlia Nord;20548;8570;ABS_05
30/11/2019;2;Sant Josep;23311;9662;ABS_02
31/12/2019;4;Torrassa;28407;10726;ABS_04
31/12/2019;12;Bellvitge;25082;10083;ABS_12
31/12/2019;3;Collblanc;26920;10696;ABS_03
31/12/2019;2;Sant Josep;23461;9666;ABS_02
31/12/2019;11;Gornal;9198;3925;ABS_11
31/12/2019;1;Centre;30040;13169;ABS_01
31/12/2019;9;Pubilla Cases;31313;11590;ABS_09
31/12/2019;5;Santa Eulàlia Nord;20674;8683;ABS_05
31/12/2019;7;Florida Nord;23124;8160;ABS_07
31/12/2019;6;Santa Eulàlia Sud;24885;10262;ABS_06
31/12/2019;8;Florida Sud;24381;8661;ABS_08
31/12/2019;10;Can Serra;10281;4205;ABS_10
31/1/2020;7;Florida Nord;23275;8160;ABS_07
31/1/2020;9;Pubilla Cases;31488;11590;ABS_09
31/1/2020;1;Centre;30138;13186;ABS_01
31/1/2020;12;Bellvitge;25113;10083;ABS_12
31/1/2020;8;Florida Sud;24432;8661;ABS_08
31/1/2020;2;Sant Josep;23482;9665;ABS_02
31/1/2020;4;Torrassa;28508;10726;ABS_04
