WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1085823 41.3608248,2.1086484 41.3607316,2.1088858 41.3608252,2.1088192 41.3609184,2.1085823 41.3608248)));;;;;;;-1;0;-1;;;704002577;yes;;;;;;263;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1083011 41.3612157,2.1083894 41.3610965,2.1086236 41.3611897,2.1085411 41.3613063,2.1083011 41.3612157)));;;;;;;-1;0;-1;;;704002578;yes;;;;;;333;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1082595 41.3612761,2.1083011 41.3612157,2.1085411 41.3613063,2.108572 41.3613194,2.1084982 41.3614251,2.108285 41.3613405,2.1082595 41.3612761)));;;;;;;-1;0;-1;;;704002579;yes;;;;;;320;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1084982 41.3614251,2.108572 41.3613194,2.1086216 41.361251,2.1086846 41.3612751,2.1085572 41.3614472,2.1084982 41.3614251)));;;;;;;-1;0;-1;;;704002580;yes;;;;;;126;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1086484 41.3607316,2.1087128 41.3606339,2.1089529 41.3607306,2.1088858 41.3608252,2.1086484 41.3607316)));;;;;;;-1;0;-1;;;704002581;yes;;;;;;271;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1087128 41.3606339,2.1087799 41.3605383,2.1089811 41.3606176,2.1090226 41.3606339,2.1089529 41.3607306,2.1087128 41.3606339)));;;;;;;-1;0;-1;;;704002582;yes;;;;;;277;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1087799 41.3605383,2.1088416 41.3604487,2.1089287 41.3604306,2.1090615 41.3604799,2.1089918 41.3605796,2.1090033 41.3605832,2.1090018 41.3605861,2.1089811 41.3606176,2.1087799 41.3605383)));;;;;;;-1;0;-1;;;704002583;yes;;;;;;285;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1089918 41.3605796,2.1090615 41.3604799,2.1092211 41.3605363,2.1091031 41.3606983,2.1090253 41.3606671,2.1090642 41.3606108,2.1090018 41.3605861,2.1090033 41.3605832,2.1089918 41.3605796)));;;;;;;-1;0;-1;;;704002584;yes;;;;;;244;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1069879 41.3613544,2.1073111 41.3608967,2.1074005 41.3608753,2.1076079 41.3609714,2.1073904 41.36124,2.1073619 41.3612278,2.1073274 41.3612751,2.1073599 41.3612888,2.107286 41.3613861,2.1071851 41.3615192,2.1070021 41.361423,2.1070164 41.3614093,2.1070021 41.3614047,2.1070001 41.3613635,2.1069879 41.3613544)));;;;;;;-1;0;-1;;;704059968;yes;;;;;;1640;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1071851 41.3615192,2.107286 41.3613861,2.1073355 41.3614063,2.1072278 41.3615451,2.1071851 41.3615192)));;;;;;;-1;0;-1;;;704059969;yes;;;;;;81;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1072278 41.3615451,2.1073355 41.3614063,2.1074331 41.3612766,2.1075144 41.3613071,2.1074961 41.3613319,2.1073111 41.3615832,2.1072278 41.3615451)));;;;;;;-1;0;-1;;;704060188;yes;;;;;;271;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1074331 41.3612766,2.1076485 41.3609836,2.10774 41.3610172,2.1076366 41.3611501,2.1075144 41.3613071,2.1074331 41.3612766)));;;;;;;-1;0;-1;;;704060189;yes;;;;;;300;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1073111 41.3615832,2.1074961 41.3613319,2.107553 41.3613513,2.1073558 41.3616107,2.1073111 41.3615832)));;;;;;;-1;0;-1;;;704060190;yes;;;;;;162;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1073558 41.3616107,2.107553 41.3613513,2.1076909 41.3611709,2.1077908 41.3610401,2.1078925 41.3610843,2.1076541 41.3614081,2.1074615 41.3616687,2.1073558 41.3616107)));;;;;;;-1;0;-1;;;704060191;yes;;;;;;765;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1076366 41.3611501,2.10774 41.3610172,2.1077908 41.3610401,2.1076909 41.3611709,2.1076366 41.3611501)));;;;;;;-1;0;-1;;;704060192;yes;;;;;;85;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1075815 41.3617358,2.1077847 41.3614642,2.1076541 41.3614081,2.1078925 41.3610843,2.1080693 41.3611561,2.1080957 41.3612247,2.1077217 41.3617602,2.1076465 41.361774,2.1075815 41.3617358)));;;;;;;-1;0;-1;;;704060193;yes;;;;;;1310;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1074615 41.3616687,2.1076541 41.3614081,2.1077847 41.3614642,2.1075815 41.3617358,2.1074615 41.3616687)));;;;;;;-1;0;-1;;;704060194;yes;;;;;;423;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1080914 41.3615138,2.1081692 41.3614031,2.108255 41.361385,2.1085179 41.3614937,2.1083999 41.3616487,2.1083006 41.3616064,2.1082926 41.3615903,2.1080914 41.3615138)));;;;;;;-1;0;-1;;;704277909;yes;;;;;;563;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1080083 41.3616346,2.1080914 41.3615138,2.1082926 41.3615903,2.1083006 41.3616064,2.1083999 41.3616487,2.1083194 41.3617594,2.1080083 41.3616346)));;;;;;;-1;0;-1;;;704277910;yes;;;;;;443;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1079251 41.3617534,2.1080083 41.3616346,2.1083194 41.3617594,2.1082309 41.3618762,2.1080914 41.3618201,2.1079251 41.3617534)));;;;;;;-1;0;-1;;;704277911;yes;;;;;;436;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1079922 41.3619587,2.1080914 41.3618201,2.1082309 41.3618762,2.1081209 41.3620352,2.1079922 41.3619587)));;;;;;;-1;0;-1;;;704277912;yes;;;;;;250;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1078634 41.361844,2.1079251 41.3617534,2.1080914 41.3618201,2.1079922 41.3619587,2.1078795 41.3619003,2.1078634 41.361844)));;;;;;;-1;0;-1;;;704277913;yes;;;;;;250;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1081619 41.3620591,2.1082973 41.3618792,2.1083926 41.3619167,2.1084052 41.3619217,2.1083806 41.3619555,2.1082654 41.3621143,2.1081619 41.3620591)));;;;;;;-1;0;-1;;;704277914;yes;;;;;;245;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1082654 41.3621143,2.1083806 41.3619555,2.1083937 41.3619602,2.1084167 41.3619277,2.1084271 41.3619318,2.1085132 41.3619662,2.1083937 41.3621302,2.1083176 41.3621435,2.1082654 41.3621143)));;;;;;;-1;0;-1;;;704277915;yes;;;;;;240;DIS_1;Districte I;BAR_03;Sant Josep
