WKT;id;description;name;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
POLYGON Z ((2.105184 41.350214 0,2.105496 41.350289 0,2.105564 41.350328 0,2.105514 41.350467 0,2.10595 41.350591 0,2.105931 41.350641 0,2.105026 41.350407 0,2.104982 41.350509 0,2.104899 41.350487 0,2.105184 41.350214 0));6004;;Mare de Déu de Bellvitge 180-188 (zona posterior del bloc), av.de la;1276;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.104811 41.350551 0,2.105321 41.350676 0,2.105374 41.350751 0,2.105331 41.350889 0,2.10578 41.351001 0,2.10575 41.351068 0,2.104615 41.350778 0,2.104642 41.350722 0,2.104811 41.350551 0));6003;;Mare de Déu de Bellvitge 210-220 (zona posterior del bloc), av.de la;1962;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.106096 41.350411 0,2.106222 41.350451 0,2.105793 41.351375 0,2.105687 41.351344 0,2.106096 41.350411 0));6012;;Mare de Déu de Bellvitge 230-178 (av.M.D.Bellvitge - c.Prat), jardineres de l'av.de la;1139;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.107064 41.347844 0,2.10735 41.347922 0,2.107609 41.347988 0,2.108001 41.348094 0,2.107973 41.348168 0,2.10703 41.347934 0,2.107064 41.347844 0));6010;;Mare de Déu de Bellvitge 30-38 (zona posterior del bloc), av.de la;786;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.106955 41.348124 0,2.10736 41.348226 0,2.107386 41.348262 0,2.107392 41.348305 0,2.10736 41.348397 0,2.107815 41.348514 0,2.107794 41.348567 0,2.107417 41.348477 0,2.106866 41.348341 0,2.106955 41.348124 0));6009;;Mare de Déu de Bellvitge 50-58 (zona posterior del bloc), av.de la;1281;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.106787 41.34853 0,2.107168 41.348626 0,2.107209 41.348653 0,2.107232 41.348694 0,2.107201 41.348764 0,2.107179 41.348821 0,2.107634 41.348939 0,2.107614 41.348985 0,2.106684 41.348758 0,2.106787 41.34853 0));6008;;Mare de Déu de Bellvitge 70-78 (zona posterior del bloc), av.de la;1312;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.106606 41.348957 0,2.106642 41.348959 0,2.106999 41.349051 0,2.107056 41.349082 0,2.107045 41.349121 0,2.106988 41.349244 0,2.107192 41.349294 0,2.107208 41.349291 0,2.107441 41.349349 0,2.107444 41.349355 0,2.107443 41.34936 0,2.107439 41.34937 0,2.107432 41.349389 0,2.107429 41.349394 0,2.107428 41.349394 0,2.107428 41.349394 0,2.106935 41.349275 0,2.106514 41.349173 0,2.106519 41.349162 0,2.106606 41.348957 0));6007;;Mare de Déu de Bellvitge 90-98 (zona posterior del bloc), av.de la;1222;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.108824 41.350286 0,2.109757 41.350523 0,2.109817 41.350393 0,2.109932 41.350421 0,2.109739 41.350831 0,2.108693 41.350566 0,2.108824 41.350286 0));6029;;Marina  211-217 (entre els blocs 181-187 i 211-217), rb.de la;3197;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113057 41.348955 0,2.113265 41.349002 0,2.11351 41.349094 0,2.113512 41.349108 0,2.113211 41.349043 0,2.113096 41.349299 0,2.112512 41.349158 0,2.112563 41.3491 0,2.112694 41.349025 0,2.112869 41.348971 0,2.113057 41.348955 0));6042;;Marina (costat de l'escola E.Ossó), rb.de la;1495;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112152 41.348131 0,2.11228 41.348252 0,2.112699 41.348439 0,2.112686 41.348499 0,2.1125 41.348654 0,2.112396 41.348802 0,2.112188 41.349111 0,2.111661 41.349988 0,2.111406 41.350463 0,2.111325 41.350596 0,2.111151 41.350904 0,2.111 41.351133 0,2.110837 41.351365 0,2.110713 41.35151 0,2.110539 41.351427 0,2.110775 41.351138 0,2.11091 41.350949 0,2.111121 41.350549 0,2.11126 41.35015 0,2.111512 41.3496 0,2.111927 41.348918 0,2.112055 41.348659 0,2.112095 41.348424 0,2.1121 41.348151 0,2.112152 41.348131 0));6028;;Marina (travessia Industrial - Granvia), passeig central de la rb.de la;10065;DIS_6;Districte VI;BAR_12;Bellvitge
