AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2004;126;03-11;34;30;64;SEC_126
2004;223;35-49;129;165;294;SEC_223
2004;122;03-11;33;32;65;SEC_122
2004;401;12-15;26;29;55;SEC_401
2004;317;12-15;15;19;34;SEC_317
2004;615;35-49;58;71;129;SEC_615
2004;239;50-64;91;80;171;SEC_239
2004;325;75 i +;156;83;239;SEC_325
2004;413;12-15;9;9;18;SEC_413
2004;612;18-24;39;38;77;SEC_612
2004;606;35-49;118;122;240;SEC_606
2004;528;16-17;19;8;27;SEC_528
2004;102;75 i +;75;41;116;SEC_102
2004;128;75 i +;45;28;73;SEC_128
2004;222;12-15;20;19;39;SEC_222
2004;418;16-17;5;15;20;SEC_418
2004;514;03-11;31;31;62;SEC_514
2004;631;12-15;21;15;36;SEC_631
2004;426;16-17;11;9;20;SEC_426
2004;224;03-11;17;22;39;SEC_224
2004;222;16-17;10;12;22;SEC_222
2004;531;65-74;50;48;98;SEC_531
2004;532;03-11;55;26;81;SEC_532
2004;616;16-17;38;39;77;SEC_616
2004;101;00-02;38;34;72;SEC_101
2004;136;03-11;40;46;86;SEC_136
2004;531;35-49;90;113;203;SEC_531
2004;603;03-11;24;25;49;SEC_603
2004;236;16-17;15;5;20;SEC_236
2004;317;50-64;69;79;148;SEC_317
2004;603;12-15;8;12;20;SEC_603
2004;433;35-49;126;127;253;SEC_433
2004;123;16-17;9;7;16;SEC_123
2004;623;65-74;56;64;120;SEC_623
2004;501;35-49;108;87;195;SEC_501
2004;140;50-64;107;97;204;SEC_140
2004;224;65-74;37;22;59;SEC_224
2004;213;50-64;95;91;186;SEC_213
2004;238;03-11;24;25;49;SEC_238
2004;410;75 i +;92;78;170;SEC_410
2004;526;75 i +;39;18;57;SEC_526
2004;411;65-74;81;57;138;SEC_411
2004;512;50-64;74;75;149;SEC_512
2004;625;16-17;17;26;43;SEC_625
2004;528;75 i +;52;41;93;SEC_528
2004;128;65-74;46;52;98;SEC_128
2004;129;16-17;9;9;18;SEC_129
2004;139;12-15;16;13;29;SEC_139
2004;440;75 i +;60;39;99;SEC_440
2004;311;18-24;49;46;95;SEC_311
2004;104;12-15;14;9;23;SEC_104
2004;320;65-74;31;23;54;SEC_320
2004;213;12-15;18;14;32;SEC_213
2004;133;25-34;88;110;198;SEC_133
2004;302;35-49;130;136;266;SEC_302
2004;112;00-02;23;15;38;SEC_112
2004;114;18-24;74;76;150;SEC_114
2004;506;00-02;12;20;32;SEC_506
2004;313;75 i +;72;37;109;SEC_313
2004;535;65-74;41;52;93;SEC_535
2004;306;16-17;27;18;45;SEC_306
2004;430;50-64;74;58;132;SEC_430
2004;228;35-49;62;90;152;SEC_228
2004;435;18-24;46;54;100;SEC_435
2004;509;65-74;42;37;79;SEC_509
2004;316;25-34;130;148;278;SEC_316
2004;625;12-15;33;24;57;SEC_625
2004;629;25-34;49;50;99;SEC_629
2004;115;18-24;64;65;129;SEC_115
2004;607;50-64;117;83;200;SEC_607
2004;134;18-24;55;59;114;SEC_134
2004;402;35-49;79;97;176;SEC_402
2004;410;65-74;129;114;243;SEC_410
2004;423;12-15;16;15;31;SEC_423
2004;630;18-24;63;48;111;SEC_630
2004;434;16-17;11;5;16;SEC_434
2004;137;03-11;54;60;114;SEC_137
2004;409;03-11;26;18;44;SEC_409
2004;433;16-17;14;8;22;SEC_433
2004;508;25-34;65;59;124;SEC_508
2004;510;50-64;109;92;201;SEC_510
2004;324;18-24;46;43;89;SEC_324
2004;601;00-02;18;15;33;SEC_601
2004;602;25-34;57;64;121;SEC_602
2004;528;00-02;16;16;32;SEC_528
2004;604;16-17;2;5;7;SEC_604
2004;611;25-34;179;216;395;SEC_611
2004;324;75 i +;49;25;74;SEC_324
2004;616;18-24;151;150;301;SEC_616
2004;624;18-24;48;46;94;SEC_624
2004;313;25-34;199;186;385;SEC_313
2004;613;25-34;128;143;271;SEC_613
2004;212;75 i +;63;40;103;SEC_212
2004;112;35-49;208;175;383;SEC_112
2004;440;50-64;138;117;255;SEC_440
2004;204;16-17;4;3;7;SEC_204
2004;526;50-64;58;54;112;SEC_526
2004;319;65-74;50;32;82;SEC_319
2004;442;03-11;25;23;48;SEC_442
2004;504;50-64;142;108;250;SEC_504
2004;321;16-17;14;23;37;SEC_321
2004;622;03-11;24;42;66;SEC_622
2004;412;12-15;21;25;46;SEC_412
2004;609;50-64;122;106;228;SEC_609
2004;625;00-02;12;16;28;SEC_625
2004;221;75 i +;39;34;73;SEC_221
2004;404;50-64;117;111;228;SEC_404
2004;131;65-74;55;49;104;SEC_131
2004;616;25-34;229;267;496;SEC_616
2004;247;35-49;154;166;320;SEC_247
2004;323;16-17;34;32;66;SEC_323
2004;225;50-64;56;41;97;SEC_225
2004;231;75 i +;93;42;135;SEC_231
2004;313;16-17;18;12;30;SEC_313
2004;510;65-74;57;54;111;SEC_510
2004;138;12-15;14;16;30;SEC_138
2004;135;18-24;76;97;173;SEC_135
2004;306;65-74;94;73;167;SEC_306
2004;223;65-74;72;60;132;SEC_223
2004;411;35-49;97;104;201;SEC_411
2004;612;65-74;61;60;121;SEC_612
2004;421;00-02;13;14;27;SEC_421
2004;415;35-49;80;94;174;SEC_415
2004;245;00-02;12;17;29;SEC_245
